STATE,ORIG_LABEL,MAP_SYM1,MAP_SYM2,UNIT_LINK,PROV_NO,PROVINCE,UNIT_NAME,UNIT_AGE,UNITDESC,STRAT_UNIT,UNIT_COM,MAP_REF,ROCKTYPE1,ROCKTYPE2,ROCKTYPE3,UNIT_REF
WA,MPL,MIPO,MIPO;0,WAMIPO;0,0,,Miocene-Pliocene marine rocks,Miocene-Pliocene,"Brown-gray, coarse-grained, moderately consolidated, commonly cross-bedded sandstone.  Grades locally into gritstone and conglomerate lenses; includes minor shale beds; sandstone often shaly and in some areas grades into claystone.",Montesano Formation; Astoria Formation (in part),"Montesano Formation overlies Astoria Formation and not always differentiated from it in the literature. Most of the Montesano Formation, however, maps within this unit, and most of the Astoria in the WAM unit (based primarily on Logan, 1987a,b, and Walsh and others, 1987).",WA001,sandstone,siltstone,conglomerate; mudstone,WA001WA007WA008WA087WA088
WA,MPLc,MIPOc,MIPOc;0,WAMIPOc;0,0,,Miocene-Pliocene nonmarine rocks,Miocene-Pliocene,"Tuffaceous and pumiceous andesitic sandstone and siltstone with interbedded conglomerate and claystone.  Conglomerate beds chiefly andesitic, but also quartzitic, granitic, and basaltic; includes basalt flows locally.","Ellensburg Formation: Beverly Member, Vantage Member; Thorp gravel","Ellensburg formation also described as fluvial and laharic gravel, sand, silt, and clay. Thorp gravel is coarse sand and gravel conformably and unconformably overlying the Ellensburg formation (Bentley and Campbell, 1983).   Mackin, 1961, considers the Saddle Mountain Basalt Member to be part of the Ellensburg Formation; local basalt flows are probably of this type (or of the Beverly Member) though most of the Saddle Mountain Basalt Member is part of unit WAMPLv.",WA001,conglomerate,pumice,gravel; sand; basalt; lahar,WA001WA005WA007WA014WA059WA074WA091WA094WA095
WA,MPLv,MIPOv,MIPOv;0,WAMIPOv;0,0,,Miocene-Pliocene volcanic rocks,Miocene-Pliocene,"Dark-gray, fine-grained, dense, porphyritic in part, basalt flows in central and south-central part of State; commonly interbedded with conglomerate, sandstone, and siltstone.  Includes small areas of rhyolite north of Cle Elum in Kittitas County, and andesite north of Leavenworth in Chelan County.",Columbia lavas; Howson andesite; Post-Roslyn rhyolite; Wenas flow; Saddle Mountain Basalts (in part),"Sedimentary rocks interbedded with Saddle Mountain basalt (which makes up most of this unit) are of Ellensburg Formation, which is mostly conglomerate and pumicite (see unit WAMPLc) (Mackin, 1961, Schuster and others, 1997).  The Saddle Mountain Basalt is Miocene-Pliocene in age; the basaltic to rhyolitoc rock, associated with the Teenaway Basalt in the central Cascades, is Eocene in age (Schuster and others, 1997, Tabor and others, 1982).",WA001,basalt,rhyolite,andesite; conglomerate; pumice,WA001WA005WA023WA059WA095
WA,Mv,MIv,MIv;0,WAMIv;0,0,,Miocene volcanic rocks,Middle Miocene,"Dark-gray to black, dense aphanitic basalt flows; commonly columnar jointed, less commonly irregularly and platy jointed; some flows vesicular, grading to scoriaceous; includes minor pillow lava, palagonite beds, and interbedded soil profiles and sedimentary beds; contains diatomite beds locally.  Maximum thickness in south-central Washington may be in excess of 10,000 feet; much thinner in western Washington, where flows are mostly associated with marine sedimentary rocks.  Includes acidic and intermediate volcanic rocks in northern Cascade Mountains.  ","Columbia River Basalt Group: Columbia River Basalts, Yakima basalt, Saddle Mountains Basalt (in part), Grande Ronde Basalt, Wanapum Basalt, Imnaha Basalt; Hannegan volcanics; Skagit (Mt. Raum) volcanics","Yakima basalt used by some workers interchangably with Columbia River Basalts, by others as specific formation or subgroup within the Columbia River Basalt Group.    Entire unit consists of basalt flows with minor exceptions: outcrop of andesite and basalt flows in southwestern Washington near Silver Lake and outcrops of basalt, dacite, andesite, and rhyolite breccia and tuff (including Hannegan volcanics and Skagit volcanics) with volcanic and tuffaceous conglomerate and sandstone in northwestern Washington near Mt. Baker.  Any sedimentary interbeds included in this unit, especially in eastern Washington, probably of, or correlative to, the Ellensburg Formation (see WAMPLc and WAOLc) or the Latah Formation (see WAMc); in western Washington, may be of, or correlative to, the Astoria Formation (see WAMPL and WAM).",WA001,tholeiite,andesite,dacite; rhyolite; sandstone; siltstone; conglomerate,WA001WA005WA007WA010WA014WA015WA023WA039WA059WA075
WA,MZag,MZag,MZag;0,WAMZag;0,0,,Mesozoic alkali intrusive rocks,Likely Eocene,Albite granite as small plugs and sills near Boundary in Stevens County.,Sheppard granite (in part),,WA001,granite,,,WA001WA023WA053WA071
WA,MZas,MZas,MZas;0,WAMZas;0,0,,Mesozoic alkali intrusive rocks,Jurassic-Cretaceous,Syenite in Nighthawk and Buckhorn Mountain areas of Okanogan County; malignite on Kruger Mountain near Nighthawk.,Kruger Mountain malignite (same as malignite of Similkameen composite pluton from Rinehart and Fox 1972); Buckhorn Mountain Pluton,"Large outcrop (Buckhorn Mountain Pluton) at 119_00 longitude also reported to be granodiorite with minor hornblende diorite (Fox, 1978, Stoffel and others, 1991, Stoffel, 1990); this pluton makes up most of this unit.  This unit may also include pyroxenite and syenite gneiss of the Similkameen pluton (see Rinehart and Fox, 1972) though there is enough uncertainty that I have chosed not to include it in the unit description.  Note that Stoffel and others, 1991, report that while the term ""Kruger Alkaline Body"" was once widely used, it has since been abandoned.  ",WA001,granodiorite,syenite,diorite,WA001WA023WA034WA070WA093
WA,MZg,MZg,MZg;0,WAMZg;0,0,,"Mesozoic granitic rocks, undivided",Mostly Cretaceous-Jurassic,"Granite, quartz monzonite, quartz diorite, granodiorite, and trondhjemite.  Includes diorite in southeastern Washington; diorite and gabbro near Concunully in Okanogan County; gneiss, schist, and migmatites in areas of Chelan, Colville, and Okanogan batholiths.  Includes high-grade metamorphic rocks of Precambrian age in Spokane area.",Colville batholith; Kaniksu Batholith (including Spirit pluton); Loon Lake granite; Mount Stuart granodiorite; Osoyoos granodiorite; Similkameen batholith; Whisky Mountain granodiorite; Cooper Mtn Batholith; Okanogan Batholith,"Includes significant portions, primarily orthogneiss, of the Kettle Metamorphic Core Complex and the Okanogan Metamorphic Core Complex, as well as orthogneiss in the Okanogan Batholith area.  Metamorphic rocks near Spokane include quartzite and possibly meta-argillite and hornfels of Belt Supergroup (Stoffel and others, 1991).Note that Stoffel and others, 1991, report that while the term ""Loon Lake Granite"" was once widely used, it has since been abandoned.  ",WA001,granite,granodiorite,quartz monzonite; tonalite; orthogneiss; trondhjemite; quartz diorite; diorite; gabbro; schist; migmatite; syenite,WA001WA018WA019WA020WA023WA024WA035WA043WA053WA075
WA,MZT,MZT,MZT;0,WAMZT;0,0,,"Mesozoic-Tertiary marine rocks, undivided",Miocene to Eocene,"Dark-gray, massive to poorly bedded gray-wacke of the interior Olympic Peninsula; commonly with interbedded slate, argillite, volcanic rocks, and minor arkosic sandstone.  Includes rocks both older and younger than Ev2, some of which may be Paleozoic.","Hoh Formation (in part); Western Olympic Lithic, Elwha Lithic, Grand Valley Lithic, and Needles-Gray Wolf Lithic assemblages of Tabor and Cady, 1978",,WA001,graywacke,siltstone,slate; phyllite; argillite; arkose; siltstone; conglomerate; coal; basalt; gabbro,WA001WA031WA032WA045WA075WA084
WA,MZTv,MZTv,MZTv;0,WAMZTv;0,0,,"Mesozoic-Tertiary volcanic rocks, undivided",Oligocene to Eocene,"Altered basalt, pillow lavas, and flow breccia of inner volcanic belt of Olympic Peninsula; includes minor interbedded red limy argillite and associated manganese ore.",,,WA001,basalt,sandstone,greenstone; diabase; gabbro; argillite,WA001WA032WA075WA084
WA,MZv,MZv,MZv;0,WAMZv;0,0,,"Mesozoic volcanic rocks, undivided",Jurassic,"Includes latite, andesite and basalt flows, tuff, and agglomerate.  Interbedded sedimentary rocks in Orient area of Stevens County.",Rossland group (in part); Buck Mountain Formation (in part),"The Rossland volcanics in northern Stevens County are dominated by greenstone, augite porphyry, and greenschist with locally intercalated agglomerate (volcanic breccia) (Stoffel, 1990).  Joseph, 1990a, includes siltite and specifies that greenstone is dominantly volcanic breccia with regional greenschist facies metamorphism.  In Okanogan County, the unit consists of andesitic tuff and tuff breccia with subordinate rhyolite and dacitic tuff and tuff breccia and andesite and basalt flows.  Included is minor beds of conglomerate and tuffaceous sandstone, siltstone, and mudstone (Stoffel and others, 1991).  Barksdale, 1975, lists andesiteic breccias, sandstone, siltstone, black shale, and conglomerate.  Weaver, 1920, however, describes the Rossland volcanic group as predominantly augite and augite-biotite latite lava flows, tuffs, and breccias with subordinate quartz latite and augite andesite and occasional belts of rhyolite and interbedded sediments.",WA001,latite,andesite,basalt; rhyolite; siltstone; sandstone; shale; conglomerate,WA001WA019WA023WA041WA070WA071WA075
WA,O,O,O;0,WAO;0,0,,Ordovician rocks,Middle Ordovician,"Mainly black to gray slate or slaty argillite, argillite, black to dark-gray siltstone in north-central Stevens County and grayish olive-green silty argillite in west-central Stevens County.  Many occurrences of Early and Middle Ordovician graptolites; also rare conodonts.",Ledbetter Slate; Mission argillite (in part),"Ledbetter Slate is 1200 m. thick in Nespelem Quadrangle, west Stevens County (Joseph, 1990b).  Stoffel and others, 1991, report that while the term ""Mission argillite"" was once widely used, it has since been abandoned.",WA001,argillite,slate,siltstone; quartzite; limestone; phyllite; greenstone,WA001WA018WA019WA023WA071WA072WA073
WA,OL,OG,OG;0,WAOG;0,0,,Oligocene marine rocks,Late Eocene to Late Oligocene,"Massive, tuffaceous and nontuffaceous sandstone and siltstone; locally concretionary; includes conglomerate along the north coast of Olympic Peninsula and basaltic sandstone east of Chehalis.",Lincoln Creek Formation; Quimper Sandstone; Twin River Formation (in part: Hoko River Formation),,WA001,siltstone,sandstone,conglomerate; tuff; mudstone,WA001WA007WA012WA045WA048WA049WA056WA062
WA,OLc,OGc,OGc;0,WAOGc;0,0,,Oligocene nonmarine rocks,Oligocene,"Andesite conglomerate, tuff beds, and mudflow material.  Includes some interbedded andesite flows in Columbia River Gorge.  Lake sediments with Oligocene flora in Republic area in Ferry County.  Massive tuffaceous sandstone and siltstone with beds of coal and high-alumina clay in Castle Rock-Toledo coal district in Cowlitz and Lewis Counties; include local interbedded basalt flows and some marine and late Eocene rocks.",Klondike Mtn Formation (in part: Tom Thumb Tuff Member); Toutle formation; Eagle Creek Formation;  Ellensburg Formation (in small part),"Includes very small outcrop in southern Stevens County which has been mapped as Gerome Andesite (note, however, that Stoffel and others, 1991, report that while the term ""Gerome Andesite"" was once widely used, it has since been abandoned).Some discrepancy over the lithology near Republic: Muessig, 1967, identifies the Tom Thumb Tuff Member as thin-bedded fine tuff while Stoffel, 1990, identifies it as primarily fossiliferous shale beds.  The Eagle Creek Formation is almost entirely volcanic material: mostly andesite flows, tuff, and breccia, with some trachyte, trachyandesite, and basalt; lithology and stratigraphy suggests contemporaneity with Fifes Peak andestite (see WAOLMv) (Warren, 1941).",WA001,conglomerate,tuff,breccia; sandstone; siltstone; coal; clay or mud; basalt; andesite,WA001WA007WA014WA022WA023WA050WA067WA068WA069WA070
WA,OLM,OGMI,OGMI;0,WAOGMI;0,0,,Oligocene-Miocene marine rocks,Oligocene,"Massive to thin-bedded, coarse-grained sandstone, conglomerate, conglomeratic sandstone, shale, and sandy shale.","Blakeley Formation; Twin River Formation (in part: Makah Formation, Pysht Formation); Lincoln Creek Formation (in part)",,WA001,sandstone,siltstone,shale; olistostrome; tuff; conglomerate,WA001WA007WA008WA012WA045WA048WA049WA062WA084
WA,OLMv,OGMIv,OGMIv;0,WAOGMIv;0,0,,Oligocene-Miocene volcanic rocks,Miocene,"Andesite flow breccia, andesite flows, and minor tuff beds; includes some basalt flows and flow breccia.  Commonly more massive and less altered than similar-appearing Eocene-Oligocene volcanic rocks.  Clastic flows and flows of black glass, and course to fine-grained clastic and pyroclastic rocks in the Republic and Curlew areas of Ferry County.","Fifes Peak andesite (upper part of Keechelus andesite, some of lower part); Taneum andesite; Klondike Mtn Formation","Some recent maps show that some of this unit is mostly dacite (Luedke, 1998, Stoffel and others, 1991).  Others maintain that it is mostly andesite (Walsh and others, 1987).  Fifes Peak andesite and upper part of Keechelus andesite in the Mt. Aix Quadrangle are the same unit (Warren, 1941).",WA001,andesite,basalt,dacite; rhyolite; conglomerate; sandstone,WA001WA007WA011WA014WA021WA023WA059WA075
WA,OLv,OGv,OGv;0,WAOGv;0,0,,Oligocene volcanic rocks,Oligocene,"Andesite and rhyodacite flows, tuff, and tuffaceous sandstones of northern Lincoln County and southwestern Stevens County.",Gerome andesite,"Mapped as andesite and dacite by Stoffel and others, 1991; mapped as primarily rhyodacite flows by Becraft and Weis, 1963.Note that Stoffel and others, 1991, report that while the term ""Gerome Andesite"" was once widely used (first coined in 1920 by Stevens), it has since been abandoned. ",WA001,rhyodacite,andesite,sandstone; conglomerate; shale; volcanic breccia (agglomerate),WA001WA019WA023WA065WA069
WA,Pm,P,P;0,WAP;0,0,,Permian rocks,Permian-Triassic,"Conglomerate, graywacke, siltstone, argillite and interbedded fossiliferous limestone, greenstone, and minor angular conglomerate in northwestern Stevens and Ferry Counties.  Impure quartzite, sandstone, graywacke, greenstone, ribbon chert, chert breccia, and limestone in Snohomish County and on San Juan Island.  Lower Permian limestone on Black Mountain in northwestern Whatcom County.  Middle Permian rocks in northeastern Washington.",Mission argillite; Orcas group (in part); Rossland volcanic group (in part); Mt. Roberts Formation ,"Stoffel and others, 1991, report that while the term ""Mission argillite"" was once widely used, it has since been abandoned.  Many workers report that these rocks are at least partly metamorphosed.",WA001,metasedimentary rock,greenstone,quartzite; siltstone; chert; metavolcanic rock; argillite; limestone; graywacke; conglomerate; slate; lava; tuff; marble; diabase,WA001WA019WA023WA073WA075WA078
WA,PC,pCA,pCA;0,WApCA;0,0,,"Precambrian rocks, undivided",Proterozoic,"Predominantly phyllite with some schist, limestone, dolomite, quartzite, and volcanic rocks; northeastern Pend Oreille County.  Mainly quartzite sandstone in upper part, dark-gray argillite with sandstone and limestone in middle part, and sandstone with argillite in lower part; southeastern Pend Oreille County.  Banded slate with quartzite and dolomite; southwestern  Stevens County.  Quartzite, siliceous argillite, and argilliceous quartzite grading into argillite and quartz-mica schists form south ot north; southeastern Stevens County.  Quartzite, argillite, quartz-feldspar gneiss, and other metamorphic rocks in northeastern Whitman and southeastern Spokane Counties are partly if not all extenstions of the Belt strata.","Belt Supergroup (Striped Peak Formation, Wallace Formation, Ravalli Group, Prichard Formation); Deer Trail Group (Edna Dolomite, McHale Shale, Togo Formation, Buffalo Hump Fomation); Priest River Group; No Name Argillite; Skookum Formation; Bead Lake Formation; Windermere Supergroup (in small part: mostly mapped as units WAPCc (Huckleberry Formation), WAPCv (Huckleberry Foramation), and WAPCph (Monk Formation and Three Sisters Formation)); Maitlen Phyllite (in part)",,WA001,argillite,siltstone,quartzite; dolostone; phyllite; limestone; gneiss; schist; sandstone,WA001WA017WA020WA023WA024WA047WA071WA072WA079
WA,PCc,pCAc,pCAc;0,WApCAc;0,0,,Precambrian conglomerate,Late-Proterozoic,"Gray-brown, coarse, poorly sorted pebbles and cobbles of limestone, dolomite, reddish-brown quartzite, black slate or phyllite, and rarely granitic rocks in a gray sandy phyllite matrix; northeastern Pend Oreille County and southwestern Stevens County.  Rocks become finer grained and more schistose and the unit becomes thicker toward the southwest, where there is included an isolated subunit which may be a tillite, consisting of cobbles, boulders, and blocks of argillite and carbonate rocks in a fine silty matrix.","Windermere Group: Huckleberry Formation (in part: conglomerate member), Shedroof conglomerate",,WA001,conglomerate,meta-conglomerate,phyllite; dolostone (dolomite); greenstone; sandstone; schist; quartzite,WA001WA018WA023WA071WA072
WA,PCd,pCAd,pCAd;0,WApCAd;0,0,,"Precambrian rocks, undivided",Middle to Late Proterozoic,Magnesite-bearing Stensgar dolomite; southwestern Stevens County.,Deer Trail Group: Stensgar Dolomite,Interbedded with overlying Deer Trail argillite (see unit WAPC).,WA001,dolostone (dolomite),metasedimentary rock,,WA001WA019WA023
WA,PCi,pCAi,pCAi;0,WApCAi;0,0,,Precambrian intrusive rocks,Middle Proterozoic(?),"Dark-gray diorite sills from 3 to 1200 feet thick.  Confined to Bead Lake district, southeastern Pend Oreille County.  Tentatively assigned to the Precambrian.",Marshall Diorite,,WA001,diorite,,,WA001WA023WA024
WA,PCph,pCAph,pCAph;0,WApCAph;0,0,,Precambrian (?) phyllite,Cambrian-Precambrian boundary,"Mostly phyllite with interbedded carbonate rocks, quartzite, and gritstone; some tufflike beds and conglomerate at the base.  Rocks confined to northeastern Pend Oreille County and central Stevens County.","Windermere Group: Monk Formation, Three Sisters Formation; Maitlen Phyllite (in part); ",,WA001,phyllite,quartzite,argillite; conglomerate; limestone; sandstone; greenstone; marble; siltstone,WA001WA018WA023WA071
WA,PCv,pCAv,pCAv;0,WApCAv;0,0,,Precambrian volcanic rocks,Late-Proterozoic,"Mostly homogenous schistose greenstone; in places massive, mottled, and containing conspicuous calcite and epidote.  Tuffaceous chlorite schist in upper part in northern Pend Oreille County.  Amphibolite and plagioclase amphibolite in Little Pend Oreille Lakes district.  Massive to sheared or schistose greenstone with dark-green ovoid spots; agglomeratic and amygodaloidal in places; sheared pillows near Blue Creek, central Stevens County; minor intrusive phase and probable center of eruption west of Finch magnesite quarry; central to southwestern Stevens County.",Windermere Group: Huckleberry Formation (in part: volcanic member); Leola Volcanics,"Leola volcanics include minor conglomerate and diamictite in the lower part of the unit (Joseph, 1990a); conglomerate member of Huckleberry Formation is included in unit WAPCc).",WA001,greenstone,amphibolite,greenschist; gneiss; conglomerate,WA001WA018WA020WA023WA071WA079
WA,pE2,pEO2,pEO2;0,WApEO2;0,0,,Pre-upper Eocene rocks,Eocene (Olympic Peninsula); Cretaceous(?) (Yakima County),"Argillite and graywacke between inner and outer volcanic belts in Olympic Peninsula.  Sheared carbonaceous argillite, argillite, graywacke, and minor conglomerate lenses and altered lava flows in western Yakima County.",Blue Mountain Unit; Russell Ranch Formation (in part),,WA001,sandstone,argillite,siltstone; conglomerate; mudstone; limestone; chert; greenstone; basalt,WA001WA007WA012WA045WA084
WA,pJ,pJ,pJ;0,WApJ;0,0,,Pre-Middle Jurassic sedimentary and volcanic rocks,Late Paleozoic deposition? with Cretaceous metamorphism?,"Sedimentary and volcanic rocks, undivided.  Graywacke, argillite, slate, greenstone, and spilitic volcanic rocks.",,"Original sedimentary and volcanic rocks are largely deformed and metamorphosed Tertiary plutonism destroyed greenschist facies minerals and now many rocks are pyroxene hornfels (Tabor and others, 1993).  ",WA001,chert,metavolcanic rock,argillite; graywacke; metasedimentary rock; quartzite; conglomerate,WA001WA043WA075WA082
WA,pJgn,pJgn,pJgn;0,WApJgn;0,0,,Pre-Upper Jurassic gneiss,Mostly Cretaceous,"Biotite, quartz diorite, trondhjemite, and hornblende gneisses, many of which are migmatitic; includes small granitic bodies locally.  Small areas of mica schist, marble, amphibolite, and lime-silicate rocks in Entiat Mountains area of Chelan County.",Methow gneiss; Skagit gneiss (may also be referred to as Custer Granite Gneiss); Eldorado Orthogneiss; Gabriel Peak Orthogneiss; Tonga Formation (in part); Swakane Biotite Gneiss; Chiwaukum Schist (in part); Napeequa Schist,"Skagit gneiss is primarily biotite gneiss with some hornblende gneiss; Methow gneiss is entirely biotite gneiss with some retrogression to schist at fault contacts (Barksdale, 1975).  Skagit gneiss ranges from the staurolite-kyanite zone to sillimanite grade (Misch, 1977).  Granitic plugs and dikes (of Skagit gneiss) are Tertiary in age (Stoffel and others, 1991); all metamorphic rocks are no younger than Cretaceous in age.  This unit may also include paragneiss.  The Chiwaukum Schist is a Barrovian sequence of metasedimentary rocks and some metavolcanic rocks (Duggan and Brown, 1994).",WA001,biotite gneiss,orthogneiss,migmatite; schist; marble; amphibolite; quartzite; phyllite; greenschist; granite,WA001WA023WA035WA036WA039WA043WA057WA064WA075WA085
WA,pJgs,pJgs,pJgs;0,WApJgs;0,0,,Pre-Upper Jurassic metamorphic rocks of the low-grade zone,Early Cretaceous metamorphism (Jurassic protolith),Greenschist of central Whatcom and Skagit Counties.,Shuksan Greenschist (part of the Easton Metamorphic Suite),,WA001,greenschist,blueschist,,WA001WA030WA039WA042WA075WA085
WA,pJph,pJph,pJph;0,WApJph;0,0,,Pre-Upper Jurassic metamorphic rocks of the low-grade zone,Jurassic,"Greenschist, phyllite, and slate; includes some limestone, quartzose phyllite, schistose metaconglomerate, breccia, and basic igneous rocks.  Includes schist locally.",Darrington Phyllite (part of the Easton Metamorphic Suite); Kobau Formation; Ellemeham Formation; Chelan Batholithic Complex (in part: Twisp Valley Schist); Anarchist series (in part); Peshastin formation (part of Ingalls Tectonic Complex),,WA001,phyllite,amphibole schist,greenschist; blueschist; limestone; quartzite; siltstone; (meta)conglomerate; greenstone; argillite; chert; granulite; graywacke; marble; gabbro; slate,WA001WA034WA039WA040WA041WA042WA059WA060WA061WA064WA085
WA,pJs,pJs,pJs;0,WApJs;0,0,,Pre-Middle Jurassic sedimentary and volcanic rocks,Jurassic,"Predominantly sedimentary rocks.  Graywacke, argillite, and slate; includes minor marble, siltstone, arkose, conglomerate, ribbon cherts, and volcanic rocks.  ",,"Includes rocks of both the western and eastern melange belts.  The western melange in Washington State is chiefly graywacke, argillite and phyllite whereas the eastern melange is primarily greenstone and chert (Tabor and others, 1988); each appears to be equally represented in this unit; argillite and graywacke are dominant because they are subordinate in the eastern melange as well.  Includes ""semi-schist"" (Tabor and others, 1988).",WA001,argillite,graywacke,phyllite; chert; greenstone; conglomerate; marble,WA001WA075WA082
WA,pJsc,pJsc,pJsc;0,WApJsc;0,0,,Pre-Upper Jurassic metamorphic rocks of the medium and high-grade zone,Early Jurassic-Triassic,"Schist, amphibolite, and minor lime-silicate rocks, marble, quartzite, and metaconglomerate.",Contact schist; Ruby Creek migmatites; Leecher metamorphics; Elijah Ridge Schist; Cascade River Schist; Lookout Mountain Formation; Chiwaukum Schist (in part),"Cascade River schist grades from the chlorite zone to the staurolite-kyanite zone (Misch, 1977).  The Lookout Mountain formation is intruded by 157 Ma quartz diorite (Walsh and others, 1987).  The Chiwaukum Schist is a Barrovian sequence of metasedimentary rocks and some metavolcanic rocks (Duggan and Brown, 1994).",WA001,schist,gneiss,amphibolite; marble; quartzite; phyllite; greenschist; calc-silicate rock; metasedimentary rock; tonalite; quartz diorite; gabbro; mylonite; migmatite,WA001WA007WA023WA034WA035WA036WA038WA041WA043WA075WA085
WA,pJv,pJv,pJv;0,WApJv;0,0,,"Pre-Middle Jurassic volcanic rocks, undivided",Early Cretaceous-Late Jurassic,"Predominantly greenstone and spilitic volcanic rocks; includes some slate, argillite, and graywacke.","Ingalls Tectonic Complex (Hawkins formation, Peshastin formation (in part))","Spilitic volcanic rocks include meta-basalt flows, breccia, and tuff, as well as metamorphosed andesite and keratophyre (Tabor and others, 1982, Southwick, 1974).  Outcrop in central Washington defined as part of Ingalls Tectonic Complex by Tabor and others, 1982.  Huntting and others, 1961, lists ""Hawkins"" in the WApJph unit but I think it is more appropriately included in this unit (see maps and lithology descriptions of Tabor and others, 1982, and Southwick, 1974); all rocks in this formation are greenschist facies.  Slate, argillite, and graywacke are part of the Peshastin formation.  ",WA001,greenstone,spilite,slate; argillite; graywacke; keratophyre; amphibolite; diorite,WA001WA059WA060WA075
WA,pPMg,pMg,pMg;0,WApMg;0,0,,Pre-Carboniferous intrusive rocks,Paleozoic,"Meta-quartz diorite, hypersthene diorite, and gneissose and directionless quartz diorite of eastern Skagit County.  Quartz diorite and diorite in the San Juan Islands.  Includes amphibolite and gneiss locally.",Marblemount quartz diorite; Turtleback Complex (in part); Fidalgo Complex (in part); Yellow Aster Complex (in part),"Meta-quartz diorite of Marblemount is greenschist facies (Misch, 1977).  Turtleback and Yellow Aster Complexes are metamorphosed to greenschist and amphibolite facies (Dragovich and others, 2002).",WA001,quartz diorite,tonalite,gneiss; gabbro; diorite; dacite; andesite; basalt; argillite; chert; sedimentary rock; amphibolite; pyroxenite,WA001WA029WA030WA039WA075
WA,pPMm,pMm,pMm;0,WApMm;0,0,,Pre-Carboniferous crystalline complex,Devonian,"Metahornblendite, amphibolite, gneiss, metadiorite, meta-quartz diorite, and trondhjemite.  As klippes along western slope of northern Cascade Mountains.",Yellow Aster Complex (in part),"Includes orthogneiss, granite, and marble with minor pyroxenite, greenstone, meta-quartz diorite, and hornblendite in the northern Cascade Mountains (Yellow Aster Complex) (Dragovich and others, 2002).  Amphibolite with minor schist, metadiorite, metagabbro, and tonalite gneiss in Kittatas County (Walsh and others, 1987).Metaplutonic rocks are listed as their protoliths below but specified as partially metamorphosed in the lithology coding comments.",WA001,gneiss,amphibolite,metavolcanic rock; trondhjemite; quartz diorite; schist; gabbro; pyroxenite,WA001WA007WA039WA043WA075
WA,PL,PO,PO;0,WAPO;0,0,,Pliocene marine rocks,Pliocene,"Coarse conglomerate, shale, and minor sandstone; along ocean beaches in Grays Harbor County.",Quinault formation,"Siltstone, sandstone, and conglomerate are fossiliferous, concretionary, and/or carbonaceous.  There may also be some outcrops of the Quinault further north along the coast in what is mapped as WAM and WAOLM, though I have chosed not to include it in those unit descriptions as it makes up a very small proportion of those units.  ",WA001,siltstone,sandstone,conglomerate,WA001WA075WA084WA089WA092
WA,PLc,POc,POc;0,WAPOc;0,0,,Pliocene nonmarine rocks,Pliocene,"Conglomerate, sandstone, shale, and mudstone.  Tuffaceous in part; contains alluvial fan type material locally.",Troutdale Formation,"Walsh and others, 1987, describe this unit as ""gravel, sand, silt, and clay""; Phillips, 1987, (referenced by Walsh and others, 1987) describes the Troutdale Formation as ""vitric sand and quartzite-bearing gravel, fine-grained leaf-bearing sand, silt, clay, micaceous quartzose sand, and cobbly and bouldery vitric sand"" with a volcanic breccia subunit.  These descriptions are inconsistant in form (sediments versus sedimentary rocks) but not material with the detailed Tolan and Beeson, 1984, description. The lithology below is based on the Tolan and Beeson, 1984, description.",WA001,conglomerate,wacke,arkose; shale; mudstone; alluvium; lahar ,WA001WA007WA009WA067
